     Index              y_true              y_pred        descriptor_1
       260    0.2759180000E+02    0.2808107896E+02    0.2074384141E+02
       261    0.3946790000E+01    0.5165863477E+01    0.3728237914E+01
       262    0.9472710000E+01    0.8581055710E+01    0.6264175530E+01
       263    0.2825870000E+01    0.3408752262E+01    0.2423501864E+01
       264    0.7774670000E+01    0.7141881858E+01    0.5195522623E+01
       265    0.3346860000E+01    0.3370023607E+01    0.2394744053E+01
       266    0.7786120000E+01    0.7452422829E+01    0.5426113605E+01
       267    0.2169770000E+01    0.2778395833E+01    0.1955433167E+01
       268    0.5176870000E+00    0.6251086249E+00    0.3565181848E+00
       269    0.1645290000E+01    0.1205952799E+01    0.7878217511E+00
       270    0.4835420000E+02    0.4657984452E+02    0.3448002732E+02
       271    0.3508930000E+01    0.4411538310E+01    0.3168116716E+01
       272    0.1192210000E+01    0.2008440457E+01    0.1383705818E+01
       273    0.5054310000E+01    0.6192104791E+01    0.4490269382E+01
       274    0.4115530000E+01    0.3847281070E+01    0.2749129713E+01
       275    0.1215830000E+01    0.1884840867E+01    0.1291927427E+01
       276    0.6197930000E+01    0.7943196817E+01    0.5790535907E+01
       277    0.7346280000E+01    0.6537396498E+01    0.4746664387E+01
       278    0.1591170000E+02    0.1617778323E+02    0.1190509579E+02
       279    0.5005620000E+01    0.6630504535E+01    0.4815801395E+01
       280    0.1471370000E+02    0.1118322558E+02    0.8196406573E+01
       281    0.1985030000E+01    0.1978049944E+01    0.1361139462E+01
       282    0.2988290000E+01    0.3959262056E+01    0.2832280755E+01
       283    0.2727670000E+01    0.2600203437E+01    0.1823117101E+01
       284    0.1495710000E+01    0.2139659469E+01    0.1481141982E+01
       285    0.3312550000E+01    0.4510822309E+01    0.3241839661E+01
       286    0.2859650000E+01    0.3562410551E+01    0.2537600225E+01
       287    0.3254590000E+01    0.3866343006E+01    0.2763284079E+01
       288    0.2613240000E+01    0.2911148942E+01    0.2054008468E+01
       289    0.3883960000E+01    0.4325494535E+01    0.3104225248E+01
       290    0.5436790000E+01    0.5234170895E+01    0.3778959320E+01
       291    0.1673190000E+02    0.1552711938E+02    0.1142194790E+02
       292    0.1940860000E+02    0.1952419820E+02    0.1438996312E+02
       293    0.7128190000E+00    0.7954037093E+00    0.4829701327E+00
       294    0.2275000000E+01    0.2304825244E+01    0.1603785181E+01
       295    0.1455900000E+01    0.1669293884E+01    0.1131873859E+01
       296    0.2762460000E+01    0.3522213465E+01    0.2507752036E+01
       297    0.8915920000E+01    0.9335854756E+01    0.6824648605E+01
       298    0.1199980000E+02    0.1063317606E+02    0.7787969456E+01
       299    0.7074990000E+00    0.5865988452E+00    0.3279228987E+00
       300    0.2742010000E+01    0.2787982318E+01    0.1962551574E+01
       301    0.8846240000E+00    0.8428100642E+00    0.5181715358E+00
       302    0.2033230000E+01    0.2429731208E+01    0.1696533615E+01
       303    0.8324960000E+01    0.8376382097E+01    0.6112195940E+01
       304    0.6543460000E+00    0.8966427505E+00    0.5581447862E+00
       305    0.4531470000E+01    0.4998142013E+01    0.3603696998E+01
       306    0.6639480000E+00    0.9264370038E+00    0.5802683923E+00
       307    0.7889140000E+02    0.8381291719E+02    0.6212729959E+02
       308    0.2246170000E+01    0.3095781135E+01    0.2191106380E+01
       309    0.3306500000E+01    0.3716504423E+01    0.2652022026E+01
       310    0.1874260000E+01    0.2654912668E+01    0.1863741226E+01
       311    0.3166860000E+01    0.3187346739E+01    0.2259098060E+01
       312    0.1341960000E+01    0.1700048044E+01    0.1154710240E+01
       313    0.2570660000E+01    0.3733740978E+01    0.2664820962E+01
       314    0.2608210000E+01    0.2614378133E+01    0.1833642466E+01
       315    0.1661840000E+02    0.1709382735E+02    0.1258530077E+02
       316    0.1061930000E+02    0.1056649023E+02    0.7738452157E+01
       317    0.4933350000E+01    0.4923953578E+01    0.3548608666E+01
       318    0.2043900000E+01    0.3040891051E+01    0.2150347963E+01
       319    0.4227840000E+01    0.5120693368E+01    0.3694697027E+01
       320    0.8198980000E+01    0.9343056646E+01    0.6829996340E+01
       321    0.9217680000E+01    0.6783623681E+01    0.4929499417E+01
       322    0.1993720000E+01    0.1547681303E+01    0.1041570913E+01
       323    0.1430120000E+01    0.2331339704E+01    0.1623473389E+01
       324    0.1390620000E+02    0.1020466538E+02    0.7469780531E+01
       325    0.6813980000E+01    0.6753880887E+01    0.4907414022E+01
       326    0.2133360000E+01    0.2595681274E+01    0.1819759187E+01
       327    0.4991080000E+01    0.6546088533E+01    0.4753118623E+01
       328    0.7710610000E+00    0.7410413128E+00    0.4426035481E+00
       329    0.5367630000E+01    0.4294715582E+01    0.3081370457E+01
       330    0.1494410000E+02    0.1403946589E+02    0.1031729663E+02
       331    0.5443030000E+01    0.5421520898E+01    0.3918075331E+01
       332    0.3096280000E+01    0.3896072705E+01    0.2785359750E+01
       333    0.4896460000E+01    0.6077537449E+01    0.4405197851E+01
       334    0.1287680000E+02    0.1143821137E+02    0.8385745273E+01
       335    0.1088760000E+01    0.1874178710E+01    0.1284010284E+01
       336    0.2503730000E+02    0.2613580101E+02    0.1929938289E+02
       337    0.7502890000E+01    0.8734627813E+01    0.6378209893E+01
       338    0.6087110000E+01    0.6544533657E+01    0.4751964056E+01
       339    0.1529750000E+01    0.1923474183E+01    0.1320614444E+01
       340    0.7680380000E+01    0.6010864020E+01    0.4355689758E+01
       341    0.1253990000E+02    0.1210669147E+02    0.8882122556E+01
       342    0.1305070000E+01    0.1367189722E+01    0.9075475968E+00
       343    0.3854420000E+01    0.5027150677E+01    0.3625237268E+01
       344    0.2321640000E+02    0.2653230198E+02    0.1959380313E+02
       345    0.1342180000E+02    0.1030648175E+02    0.7545383874E+01
       346    0.8376480000E+00    0.1256920005E+01    0.8256672501E+00
       347    0.2338630000E+01    0.2183955285E+01    0.1514033666E+01
       348    0.2054510000E+00    0.4105946177E+00    0.1972316490E+00
       349    0.1123670000E+02    0.1021186102E+02    0.7475123628E+01
       350    0.1637470000E+02    0.1477938276E+02    0.1086671900E+02
       351    0.1946790000E+01    0.2227242248E+01    0.1546176231E+01
       352    0.5078170000E+01    0.5547100310E+01    0.4011323831E+01
       353    0.3658270000E+00    0.2616540228E+00    0.8663639365E-01
       354    0.4258340000E+01    0.3848631623E+01    0.2750132561E+01
       355    0.2806020000E+01    0.4126353035E+01    0.2956353507E+01
       356    0.9958060000E+01    0.1091865987E+02    0.7999954345E+01
       357    0.3877650000E+01    0.2947213987E+01    0.2080788426E+01
       358    0.4875820000E+01    0.3683912606E+01    0.2627821100E+01
       359    0.5360390000E+01    0.5200115968E+01    0.3753671967E+01
       360    0.2572190000E+01    0.2531274981E+01    0.1771934546E+01
       361    0.1410810000E+01    0.1575194189E+01    0.1062000499E+01
       362    0.4313480000E+01    0.4785607675E+01    0.3445880458E+01
       363    0.1283860000E+02    0.1258385801E+02    0.9236440701E+01
       364    0.1158160000E+01    0.1179212522E+01    0.7679658631E+00
       365    0.1772790000E+01    0.2367054288E+01    0.1649993114E+01
       366    0.3414920000E+01    0.4466321952E+01    0.3208796095E+01
       367    0.5213380000E+01    0.6650378609E+01    0.4830558811E+01
       368    0.1539970000E+02    0.9779431319E+01    0.7154024644E+01
       369    0.2632590000E+01    0.2735029404E+01    0.1923231595E+01
       370    0.4636050000E+01    0.4832834629E+01    0.3480948648E+01
       371    0.1929260000E+01    0.2413971985E+01    0.1684831666E+01
       372    0.3216510000E+01    0.2433138910E+01    0.1699063991E+01
       373    0.3103840000E+01    0.4607253450E+01    0.3313444227E+01
       374    0.1588990000E+02    0.1515324194E+02    0.1114432667E+02
       375    0.8362860000E+01    0.9004993432E+01    0.6578968825E+01
       376    0.3539150000E+01    0.3639050729E+01    0.2594509089E+01
       377    0.3514180000E+01    0.4005252403E+01    0.2866430707E+01
       378    0.6438820000E+01    0.6597540452E+01    0.4791324044E+01
       379    0.3827080000E+01    0.5611422647E+01    0.4059086131E+01
       380    0.3490610000E+01    0.4751798385E+01    0.3420775502E+01
       381    0.1238600000E+01    0.1517291866E+01    0.1019005356E+01
       382    0.1244310000E+01    0.1344188343E+01    0.8904680128E+00
       383    0.1070080000E+01    0.9467980028E+00    0.5953873723E+00
       384    0.5451860000E+01    0.6371709164E+01    0.4623633906E+01
       385    0.2706660000E+02    0.2430103894E+02    0.1793698750E+02
       386    0.3947430000E+01    0.4036505353E+01    0.2889637463E+01
       387    0.3158510000E+02    0.3448424152E+02    0.2549848469E+02
       388    0.1564200000E+02    0.1187261422E+02    0.8708309406E+01
       389    0.1400640000E+01    0.1784134144E+01    0.1217148044E+01
       390    0.4166120000E+02    0.4014974229E+02    0.2970538010E+02
       391    0.1833820000E+01    0.2022011065E+01    0.1393782620E+01
       392    0.6145250000E+00    0.9342722336E+00    0.5860864115E+00
       393    0.2521060000E+01    0.3370056655E+01    0.2394768593E+01
       394    0.9827540000E+01    0.8851056799E+01    0.6464663781E+01
       395    0.1464890000E+02    0.1565132838E+02    0.1151417881E+02
       396    0.7289990000E+00    0.6230554210E+00    0.3549935863E+00
       397    0.4245010000E+01    0.3359966068E+01    0.2387275867E+01
       398    0.1467240000E+02    0.1270087404E+02    0.9323330496E+01
       399    0.2253170000E+02    0.1918881171E+02    0.1414092320E+02
       400    0.1207920000E+02    0.1016859200E+02    0.7442994385E+01
       401    0.2633780000E+01    0.3178973929E+01    0.2252880863E+01
       402    0.1008070000E+02    0.1492656257E+02    0.1097600679E+02
       403    0.3293290000E+01    0.3359896767E+01    0.2387224408E+01
       404    0.1733020000E+02    0.1983779865E+02    0.1462282591E+02
       405    0.4497780000E+01    0.4167881722E+01    0.2987190471E+01
       406    0.2176150000E+00    0.3249395112E+00    0.1336287852E+00
       407    0.1262340000E+02    0.1122590568E+02    0.8228098513E+01
       408    0.1451460000E+01    0.1754166792E+01    0.1194895904E+01
       409    0.1161010000E+02    0.1032242066E+02    0.7557219252E+01
       410    0.2899290000E+01    0.3894435975E+01    0.2784144403E+01
       411    0.4010690000E+01    0.4382772030E+01    0.3146756428E+01
       412    0.1207630000E+01    0.1478682195E+01    0.9903358959E+00
       413    0.1944070000E+02    0.1809781824E+02    0.1333081027E+02
       414    0.1632670000E+01    0.2435467077E+01    0.1700792762E+01
       415    0.6761330000E+01    0.7082052115E+01    0.5151096282E+01
       416    0.6891080000E+01    0.7507548265E+01    0.5467046781E+01
       417    0.1359540000E+02    0.1004861663E+02    0.7353907141E+01
       418    0.5950080000E+00    0.9754820248E+00    0.6166865805E+00
       419    0.2275510000E+01    0.2434472272E+01    0.1700054074E+01
       420    0.8763010000E+00    0.1090284539E+01    0.7019327374E+00
       421    0.3638200000E+01    0.3590528247E+01    0.2558478910E+01
