auid,formula,NE,NA,BGAP,EPA,ASPIN,ENPA,VPA,D,BM,SM,YM,ANI,PR,PUGR,IPUGR,DT_AGL,vs,vl,vm,DT_A_AGL,gruneisen,Cv_300,Cp_300,TEX_300,TC_300,VIB_EN_300,VIB_FE_300
aflow:09edfe5881c94c85,P12Ru4,2,16,1.3909,-6.05418,0,-6.05418,15.4838,5.2011,153.223,115.241,276.422,0.334788,0.199324,0.752114,1.329585675,617.163,4707.13,7190.25,5157.61,244.857,2.19699,39.2495,40.0715,0.0000317,9.26468,0.184366,37.7911
aflow:09fcff2bd6ce3986,Os4Te8,2,12,0.142,-4.92353,0,-4.92353,22.645,10.887,124.868,86.7303,211.275,0.178192,0.218002,0.694576,1.439727258,322.912,2822.49,4311.42,3092.61,141.083,2.40748,34.0508,34.9366,0.0000357,4.58186,0.336438,-19.0644
aflow:0a22469748423b7e,Co2Zr4,2,6,0,-6.97276,0.468414,-6.97276,19.8665,6.72505,98.1264,18.2566,51.5714,8.16613,0.412407,0.186052,5.374841442,201.976,1647.64,2516.81,1805.32,111.165,1.39221,17.6024,17.8315,0.0000308,3.04521,0.451167,-56.0634
aflow:0a2ad91ef1bbd4e9,Ir4Nb4Si4,3,12,0,-7.54322,0,-7.54322,14.9187,11.6208,246.801,127.647,326.629,0.173607,0.279425,0.517205,1.933469321,441.955,3314.26,5062.62,3631.45,193.061,2.09843,32.4057,32.8528,0.0000218,9.67596,0.259048,7.97942
aflow:0a2aea5c8588c44a,Si4Zr2,2,6,0,-7.11747,0,-7.11747,16.8321,4.84686,123.064,95.607,227.823,0.319262,0.191456,0.776891,1.287181857,571.089,4441.34,6784.27,4866.4,314.233,2.01293,15.1369,15.4441,0.0000335,17.8111,0.201102,30.6117
aflow:0a399828945da418,Pd6Si3,2,9,0,-4.27392,0,-4.27392,14.2159,9.37915,182.861,48.569,133.856,2.069,0.377999,0.265605,3.764989364,303.966,2275.61,3476.05,2493.39,146.148,2.46685,25.7044,26.5146,0.0000421,2.03844,0.351824,-24.1827
aflow:0a3f61db91adc40b,S1Tb1,2,2,0,-6.3886,0,-6.3886,21.4118,7.40571,96,43.381,113.106,4.17122,0.303635,0.451886,2.212947513,287.025,2420.29,3697.05,2651.91,227.792,2.04555,5.74125,5.89022,0.0000418,9.54719,0.36545,-28.6646
aflow:0a4ae3a985d6767d,Pt4Si4Th2,3,10,0,-5.95456,0,-5.95456,18.3912,12.2503,166.864,73.1056,191.369,0.22563,0.308857,0.438115,2.282505735,307.031,2442.88,3731.56,2676.67,142.497,2.27564,28.5197,29.1167,0.0000304,4.2788,0.348268,-23.0053
aflow:0a51a21a7c15d877,Rh3Th1,2,4,0,-5.01387,0.458275,-5.01387,18.8458,11.9118,151.294,56.0797,149.738,0.540754,0.335048,0.370666,2.697846579,257.977,2169.78,3314.39,2377.43,162.53,2.46803,11.5805,11.9109,0.0000386,3.94551,0.392298,-37.3771
aflow:0a650ffe7a878d29,Ir1Si3Y1,3,5,0,-6.56298,0,-6.56298,17.1079,7.09301,130.733,58.8787,153.58,0.0486635,0.304206,0.450374,2.220376842,381.095,2881.13,4401.01,3156.87,222.81,2.04325,13.8754,14.1676,0.0000341,8.63011,0.295138,-4.95252
aflow:0a808a45fc88ed87,O4S4Zr4,3,12,2.4226,-8.32806,0,-8.32806,16.0068,4.81625,130.809,50.5992,134.46,0.0037347,0.328682,0.386816,2.585208471,457.086,3241.28,4951.14,3551.48,199.613,1.99064,32.1895,32.7949,0.0000313,5.46648,0.251722,10.6942
aflow:0a96527cdb83fd27,C4Cr2Sc2,3,8,0,-7.69639,0.670556,-7.69639,11.5192,4.35971,148.688,103.456,251.937,0.126832,0.2176,0.695796,1.437202858,719.96,4871.36,7441.12,5337.56,360,1.61219,18.2976,18.5509,0.0000286,25.97,0.152269,52.8064
aflow:0a9eef79f2c13231,Te4Y2,2,6,0,-5.41194,0,-5.41194,29.4461,6.46833,57.1402,25.4022,66.3713,0.52088,0.306408,0.444559,2.249420212,213.953,1981.71,3027.11,2171.36,117.769,1.93451,17.5666,18.065,0.0000483,2.86735,0.440096,-52.5843
