materials    Cp_300  NA  PR  PUGR  SM  VPA
Au2Er2Sn2	18.2142	6	0.276761	0.524542	40.202	23.8275
Au4Bi2	18.6429	6	0.373423	0.276485	26.5625	21.7998
Al2Pd5U1	23.7762	8	0.333679	0.374126	47.1458	16.6242
Pa2Sb4	17.9607	6	0.290769	0.486295	41.3062	27.4343
Be6P4	22.0262	10	0.180696	0.811312	80.9284	13.1242
Cs1	3.6992	1	0.32536	0.395304	0.819158	115.717
Nb4Pd4Si4	33.4224	12	0.314932	0.422231	80.6925	15.3305
Dy4	12.0581	4	0.238546	0.633292	26.0604	31.3094
Ir3Ta1	11.071	4	0.234601	0.644902	209.468	14.8975
C1Ho1Rh3	14.2854	5	0.326186	0.393188	78.9042	14.3418
Au4Sb8	37.0473	12	0.370935	0.282431	19.3861	25.9284
Mo6Sb14	58.8199	20	0.296025	0.472156	50.3161	22.6691
C2Sn2Ti4	21.3	8	0.241958	0.623311	80.6449	15.8338
Ir8Sn26Yb6	122.404	40	0.34999	0.333358	24.7352	24.319
Ni2Sn1Ti1	11.6721	4	0.357089	0.315921	48.0586	14.5546
Ba2Cd1	9.48329	3	0.219892	0.68885	9.89214	47.2524
In3Pt3Th3	27.003	9	0.336904	0.365986	42.7139	24.207
Mg2O2	10.2924	4	0.317945	0.414405	46.5701	12.2057
Ce2O4	16.8666	6	0.339159	0.360318	50.9668	16.3876
Be26Hf2	56.6175	28	0.092483	1.11906	140.939	8.8224
Au8In8Sr4	64.0759	20	0.378267	0.26497	15.9469	25.2646
Os1Ti1	5.51567	2	0.26551	0.555878	136.981	15.3031
Al1Os1	5.59205	2	0.295914	0.472453	113.239	13.6339
Co2Ga1Mn1	11.7196	4	0.245818	0.612084	51.6939	14.2553
Au1In2	9.77544	3	0.334931	0.37096	19.7371	24.5408
Nb6Os2	22.7153	8	0.334217	0.372764	83.9776	17.4248
Ca1Ga2	9.06236	3	0.209017	0.722032	30.4565	23.106
Br6Ca2In2	32.146	10	0.315043	0.42194	6.87816	33.8754
Ge8	23.8991	8	0.223807	0.67705	39.9227	21.7572
Co4Dy4Ge4	34.5345	12	0.228151	0.664046	55.6128	19.191
As2Au2Ca2	18.2707	6	0.293581	0.478715	28.6543	22.8754
Ir1Si3U1	14.5586	5	0.300696	0.459687	58.7451	17.5585
Mg1Tb1	6.05186	2	0.260425	0.570226	23.6263	27.3322
Ba2Te6	24.62	8	0.223833	0.676974	15.4745	36.2108
Bi10La6Sc2	54.7894	18	0.291089	0.48543	25.7609	31.4381
Au1In1Li2	13.01	4	0.338878	0.361022	18.9376	17.4307
Au4Ho8	36.6056	12	0.35333	0.325132	19.6498	25.9063
Be1Rh1	5.4213	2	0.307613	0.441386	92.2128	10.6659
Al4Yb2	17.7148	6	0.159695	0.880331	43.146	21.1868
O8Si2Zn4	35.1156	14	0.303066	0.453394	87.1675	9.48023
Au1Yb1	6.47999	2	0.357799	0.314186	14.1942	24.6011
Fe1Ga1Ni2	11.7494	4	0.378011	0.265576	42.0687	11.9594
Mn4Ni4Si4	34.6361	12	0.33284	0.37625	36.12	14.7487
Ni4P4S4	33.0642	12	0.247283	0.607843	53.5683	14.8817
Nb3Re3Si3	24.5835	9	0.280414	0.514487	125.41	15.2057
La1Tl1	6.1924	2	0.357951	0.313816	15.3247	32.0284
Ho16O24	113.701	40	0.303289	0.452802	65.7443	14.9109
As8Th4	35.3412	12	0.267394	0.550593	49.0473	25.5356
Ba1O3Sn1	14.0148	5	0.2326	0.650819	82.4841	15.266
Er4Ga4Pd4	36.3796	12	0.383145	0.253454	23.9416	19.4065
C1Ru3Th1	13.9465	5	0.281854	0.510539	112.106	15.706
Cu2Zn1Zr1	11.8444	4	0.345768	0.343815	40.0028	15.0218
Er1Pd1	6.04659	2	0.352605	0.326913	30.4102	21.0057
Cd33Na6	142.154	39	0.282632	0.508412	16.7642	24.1952
Cu2Er2Si2	17.2967	6	0.228407	0.66328	64.6869	18.1719
O12Rh4Tb4	55.6892	20	0.327532	0.389749	72.5597	11.8734
Na4S4	24.2423	8	0.254174	0.588018	15.1286	22.4337
Au4Ca4In4	37.7804	12	0.343898	0.348468	18.774	24.5986
Cs1F3Pb1	15.9455	5	0.313671	0.425515	16.5431	23.5583
Ti1Zn3	12.0842	4	0.276841	0.524324	41.7624	15.3494
Br2In10Se10	67.9916	22	0.286079	0.499006	14.2678	27.8481
Ca4Ge4Mg4	34.7598	12	0.179758	0.81434	38.961	23.4774
La2Rh4	17.7765	6	0.348979	0.335857	45.6168	19.1157
Mg1Ni2Sb1	11.9111	4	0.323364	0.400426	46.1602	14.3984
Pb1S1	6.07147	2	0.26107	0.568399	30.3935	27.0597
In4Ir4Tb16	71.8457	24	0.269709	0.544119	22.8953	26.7298
Pd2Sb2	12.1904	4	0.380777	0.259034	26.9109	20.8923
Ge4Hf4Pt4	35.0037	12	0.303325	0.452708	79.1295	16.9744
Pd2Sc1Sn1	11.992	4	0.360677	0.307178	36.5286	18.2602
