MP_ID,MP_formula,MP_species,MP_NE,AFLOW_ID,AFLOW_formula,AFLOW_species,AFLOW_NE
mp-11243,ErAu,"['Au', 'Er']",2,aflow:f61653f3acd74575,Au1Er1,"['Au', 'Er']",2
mp-1007918,DyAu,"['Au', 'Dy']",2,aflow:bc1e17464cf173cc,Au1Dy1,"['Au', 'Dy']",2
mp-1007691,HfPt,"['Hf', 'Pt']",2,aflow:67e796f9ad1390a2,Hf1Pt1,"['Hf', 'Pt']",2
mp-1007666,HoAu,"['Au', 'Ho']",2,aflow:5114e838d863517f,Au1Ho1,"['Au', 'Ho']",2
mp-11228,YAl,"['Al', 'Y']",2,aflow:53bc333b72a0cbd5,Al1Y1,"['Al', 'Y']",2
mp-2349,YCd3,"['Cd', 'Y']",2,aflow:f021e2eb09c3c733,Cd3Y1,"['Cd', 'Y']",2
mp-157,P,['P'],1,aflow:57cecbf3dc26e974,P1,['P'],1
mp-865166,HfPd5,"['Hf', 'Pd']",2,aflow:7b2d94bf10189f78,Hf1Pd5,"['Hf', 'Pd']",2
mp-28629,Ta5B6,"['B', 'Ta']",2,aflow:9971b568135d5bf9,B6Ta5,"['B', 'Ta']",2
mp-569250,VIr,"['Ir', 'V']",2,aflow:1638a35ca98e8127,Ir1V1,"['Ir', 'V']",2
mp-10910,Al2Ru,"['Al', 'Ru']",2,aflow:942ebb3965166f22,Al2Ru1,"['Al', 'Ru']",2
mp-8700,K2Au3,"['Au', 'K']",2,aflow:6a88ba550e5d3b86,Au3K2,"['Au', 'K']",2
mp-10255,Nb3B4,"['B', 'Nb']",2,aflow:8f41f9108042804d,B4Nb3,"['B', 'Nb']",2
mp-1018151,NbPd2,"['Nb', 'Pd']",2,aflow:d08800926a9f9cb1,Nb1Pd2,"['Nb', 'Pd']",2
mp-10142,Ta3B4,"['B', 'Ta']",2,aflow:be99dfb51a1405cc,B4Ta3,"['B', 'Ta']",2
mp-1025170,Ti3B4,"['B', 'Ti']",2,aflow:9bf188e5fb78ea9c,B4Ti3,"['B', 'Ti']",2
mp-569270,V3B4,"['B', 'V']",2,aflow:da95f17820b9c395,B4V3,"['B', 'V']",2
mp-952,MoPt2,"['Mo', 'Pt']",2,aflow:cdbe97e96d2d1cf1,Mo1Pt2,"['Mo', 'Pt']",2
mp-11514,NbPt2,"['Nb', 'Pt']",2,aflow:64e5939b95330a2f,Nb1Pt2,"['Nb', 'Pt']",2
mp-30835,TaPd2,"['Pd', 'Ta']",2,aflow:1311b90ba3307354,Pd2Ta1,"['Pd', 'Ta']",2
mp-8535,ErSi2Rh3,"['Er', 'Rh', 'Si']",3,aflow:d0d4eb0ea07a225e,Er1Rh3Si2,"['Er', 'Rh', 'Si']",3
mp-23485,Ag2HgI4,"['Ag', 'Hg', 'I']",3,aflow:4acd680114f302a1,Ag2Hg1I4,"['Ag', 'Hg', 'I']",3
mp-7909,Al2CdTe4,"['Al', 'Cd', 'Te']",3,aflow:74c0b1109069d665,Al2Cd1Te4,"['Al', 'Cd', 'Te']",3
mp-7910,Al2HgTe4,"['Al', 'Hg', 'Te']",3,aflow:9ac7d0ab226ef604,Al2Hg1Te4,"['Al', 'Hg', 'Te']",3
mp-7908,Al2ZnTe4,"['Al', 'Te', 'Zn']",3,aflow:f271f31b7b56d2c5,Al2Te4Zn1,"['Al', 'Te', 'Zn']",3
mp-16337,Ga2HgTe4,"['Ga', 'Hg', 'Te']",3,aflow:8a1c8954bd7a16a8,Ga2Hg1Te4,"['Ga', 'Hg', 'Te']",3
mp-1743,Mo5As4,"['As', 'Mo']",2,aflow:9058b69a69cdda4b,As4Mo5,"['As', 'Mo']",2
mp-1743,Mo5As4,"['As', 'Mo']",2,aflow:af60a19ee4cb3953,As4Mo5,"['As', 'Mo']",2
mp-12635,TiAu4,"['Au', 'Ti']",2,aflow:f3528bce37f6d71f,Au4Ti1,"['Au', 'Ti']",2
mp-2598,Ta5Sb4,"['Sb', 'Ta']",2,aflow:c51285e5e6e00f21,Sb4Ta5,"['Sb', 'Ta']",2
mp-20459,TiPbO3,"['O', 'Pb', 'Ti']",3,aflow:3b97ae34b7e6d862,O3Pb1Ti1,"['O', 'Pb', 'Ti']",3
mp-1069604,CaSi3Pt,"['Ca', 'Pt', 'Si']",3,aflow:4b5f9e4adb19ff87,Ca1Pt1Si3,"['Ca', 'Pt', 'Si']",3
mp-22346,BaGe3Pt,"['Ba', 'Ge', 'Pt']",3,aflow:0869312088931792,Ba1Ge3Pt1,"['Ba', 'Ge', 'Pt']",3
mp-11879,BaNiSn3,"['Ba', 'Ni', 'Sn']",3,aflow:a98fc872dd915b7f,Ba1Ni1Sn3,"['Ba', 'Ni', 'Sn']",3
mp-11269,BaSn3Pd,"['Ba', 'Pd', 'Sn']",3,aflow:156ede75c61452f5,Ba1Pd1Sn3,"['Ba', 'Pd', 'Sn']",3
mp-30433,BaSn3Pt,"['Ba', 'Pt', 'Sn']",3,aflow:131e8de7e237a3e8,Ba1Pt1Sn3,"['Ba', 'Pt', 'Sn']",3
mp-2914,LaSi3Ir,"['Ir', 'La', 'Si']",3,aflow:cb23330d734db36f,Ir1La1Si3,"['Ir', 'La', 'Si']",3
mp-30834,SrSn3Pd,"['Pd', 'Sn', 'Sr']",3,aflow:6c37e0e2ec89b24a,Pd1Sn3Sr1,"['Pd', 'Sn', 'Sr']",3
